app_slug,app_name,bundle_id,app_version,app_build,external_version_id,rn_guess,rn_evidence_class,component,member,bytes,compressed_bytes,compressed_pct_uncompressed,pct_main_app_uncompressed,pct_main_app_compressed,pct_source_ipa,pct_dump_ipa,context_only,dump_report,dump_ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.44.24,13440024,880184267,0.79.x,versioned_rn,js_bundle,Payload/Coinbase.app/main.jsbundle,92780909,32464864,34.99,33.89,34.00,21.59,31.23,false,tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.44.24,13440024,880184267,0.79.x,versioned_rn,named_native_runtime,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,4754496,1315292,27.66,1.74,1.38,0.87,1.27,false,tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.44.24,13440024,880184267,0.79.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Coinbase,70000784,27784038,39.69,25.57,29.10,18.48,26.72,true,tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.44.24,13440024,880184267,0.79.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit,3963104,1127146,28.44,1.45,1.18,0.75,1.08,true,tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.44.24,13440024,880184267,0.79.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,4754496,1315292,27.66,1.74,1.38,0.87,1.27,true,tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.44.24_13440024_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.45.27,13450027,880359975,0.60.x,versioned_rn,js_bundle,Payload/Coinbase.app/main.jsbundle,93492823,32726001,35.00,34.03,34.16,21.71,31.38,false,tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.45.27,13450027,880359975,0.60.x,versioned_rn,named_native_runtime,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,4754496,1315292,27.66,1.73,1.37,0.87,1.26,false,tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.45.27,13450027,880359975,0.60.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Coinbase,70000800,27784461,39.69,25.48,29.00,18.44,26.64,true,tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.45.27,13450027,880359975,0.60.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit,3963104,1127144,28.44,1.44,1.18,0.75,1.08,true,tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,13.45.27,13450027,880359975,0.60.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,4754496,1315292,27.66,1.73,1.37,0.87,1.26,true,tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_13.45.27_13450027_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,14.19.22,14190022,885921388,0.60.x,versioned_rn,js_bundle,Payload/Coinbase.app/main.jsbundle,105007728,37665074,35.87,39.46,40.97,26.06,35.71,false,tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,14.19.22,14190022,885921388,0.60.x,versioned_rn,named_native_runtime,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,4754496,1315292,27.66,1.79,1.43,0.91,1.25,false,tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,14.19.22,14190022,885921388,0.60.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Coinbase,50470736,20290106,40.20,18.97,22.07,14.04,19.23,true,tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,14.19.22,14190022,885921388,0.60.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Frameworks/FBSDKCoreKit.framework/FBSDKCoreKit,3963104,1127149,28.44,1.49,1.23,0.78,1.07,true,tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa
coinbase,Coinbase,com.vilcsak.bitcoin2,14.19.22,14190022,885921388,0.60.x,versioned_rn,rn_carrier_macho,Payload/Coinbase.app/Frameworks/hermes.framework/hermes,4754496,1315292,27.66,1.79,1.43,0.91,1.25,true,tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/coinbase_14.19.22_14190022_frida-all.ipa
artsy,Artsy: Buy & Sell Fine Art,net.artsy.artsy,7.3.5,2022.04.22.16,848346625,unknown,native_rn_marker_without_version,rn_carrier_macho,Payload/Artsy.app/Artsy,13344768,4730049,35.44,24.96,20.81,12.01,16.20,true,tmp/ios-dumps/artsy_7.3.5_2022.04.22.16_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/artsy_7.3.5_2022.04.22.16_frida-all.ipa
