ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
ipas/artsy/artsy_023_869224903_869224903.ipa,869224903,net.artsy.artsy,8.53.0,2024.10.03.13,2024-10-03T13:56:06,,,Payload/Artsy.app/main.jsbundle,96,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/artsy/artsy_024_869475631_869475631.ipa,869475631,net.artsy.artsy,8.54.0,2024.10.16.06,2024-10-16T07:13:06,,,Payload/Artsy.app/main.jsbundle,96,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/artsy/artsy_025_869781935_869781935.ipa,869781935,net.artsy.artsy,8.55.0,2024.11.04.14,2024-11-04T14:52:54,,,Payload/Artsy.app/main.jsbundle,96,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/artsy/artsy_026_870200865_870200865.ipa,870200865,net.artsy.artsy,8.56.0,2024.11.14.13,2024-11-14T13:35:46,,,Payload/Artsy.app/main.jsbundle,96,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/artsy/artsy_027_870443178_870443178.ipa,870443178,net.artsy.artsy,8.57.0,2024.11.29.16,2024-11-29T16:50:26,,,Payload/Artsy.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_028_876309616_876309616.ipa,876309616,net.artsy.artsy,8.79.0,2025.07.24.14,2025-07-24T14:25:58,,,Payload/Artsy.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_029_876709591_876709591.ipa,876709591,net.artsy.artsy,8.80.0,2025.08.07.10,2025-08-07T10:40:14,,,Payload/Artsy.app/main.jsbundle,96,,0.77.x,medium,false,false,true,false,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker unstable_enableLogBox is present, DevMenu export is present, and 0.78's experimental_LayoutConformance marker is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_030_877112816_877112816.ipa,877112816,net.artsy.artsy,8.81.0,2025.08.21.13,2025-08-21T13:53:18,,,Payload/Artsy.app/main.jsbundle,96,,0.77.x,medium,false,false,true,false,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker unstable_enableLogBox is present, DevMenu export is present, and 0.78's experimental_LayoutConformance marker is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_031_877470423_877470423.ipa,877470423,net.artsy.artsy,8.82.0,2025.09.03.13,2025-09-03T14:29:12,,,Payload/Artsy.app/main.jsbundle,96,,0.77.x,medium,false,false,true,false,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker unstable_enableLogBox is present, DevMenu export is present, and 0.78's experimental_LayoutConformance marker is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
ipas/artsy/artsy_032_877862925_877862925.ipa,877862925,net.artsy.artsy,8.83.0,2025.09.17.12,2025-09-17T13:13:06,,,Payload/Artsy.app/main.jsbundle,96,,0.77.x,medium,false,false,true,false,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker unstable_enableLogBox is present, DevMenu export is present, and 0.78's experimental_LayoutConformance marker is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
