ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
discord-ipas/discord_004_854627233_854627233.ipa,854627233,com.hammerandchisel.discord,163.0,39243,2023-01-26T23:47:56,,,Payload/Discord.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_854902391_854902391.ipa,854902391,com.hammerandchisel.discord,165.0,39851,2023-02-10T14:07:58,,,Payload/Discord.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_855471292_855471292.ipa,855471292,com.hammerandchisel.discord,169.0,40975,2023-03-10T15:07:06,,,Payload/Discord.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_856949075_856949075.ipa,856949075,com.hammerandchisel.discord,177.1,43778,2023-05-07T21:56:44,,,Payload/Discord.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_873256089_873256089.ipa,873256089,com.hammerandchisel.discord,271.0,73724,2025-03-14T22:04:56,ptb,discord_ios@271.0.73724+73724,Payload/Discord.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_876017723_876017723.ipa,876017723,com.hammerandchisel.discord,287.0,80233,2025-07-03T19:05:34,ptb,discord_ios@287.0.80233+80233,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_004_879245926_879245926.ipa,879245926,com.hammerandchisel.discord,302.0,86637,2025-10-17T16:10:50,ptb,discord_ios@302.0.86637+86637,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_004_881798334_881798334.ipa,881798334,com.hammerandchisel.discord,313.0,91856,2026-01-23T07:38:04,ptb,discord_ios@313.0.91856+91856,Payload/Discord.app/main.jsbundle,96,19.1.0,0.81.x,high,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker has VirtualViewMode, but not the ReactNativeVersion export added in 0.82. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_004_884402798_884402798.ipa,884402798,com.hammerandchisel.discord,324.0,98223,2026-04-10T06:41:52,ptb,discord_ios@324.0.98223+98223,Payload/Discord.app/main.jsbundle,96,19.1.0,0.81.x,high,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker has VirtualViewMode, but not the ReactNativeVersion export added in 0.82. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_005_834579637_834579637.ipa,834579637,com.hammerandchisel.discord,3.1.10,18953,2020-02-03T18:56:26,,,Payload/Discord.app/main.jsbundle,,,<=0.59.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,true,1,"Core React Native bundle markers are present, but RN 0.60+ index markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_005_845639290_845639290.ipa,845639290,com.hammerandchisel.discord,103.0,29223,2021-11-29T12:10:30,,,Payload/Discord.app/main.jsbundle,76,,0.64.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN 0.63 color/Pressable markers are present and legacy CheckBox/TVEventHandler markers removed in 0.64 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_005_848229079_848229079.ipa,848229079,com.hammerandchisel.discord,122.0,31608,2022-04-04T11:07:40,,,Payload/Discord.app/main.jsbundle,84,,0.66.x,medium,false,false,true,false,false,false,false,false,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index markers PickerIOS and StatusBarIOS, removed in 0.66, are absent; DatePickerAndroid is still present. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_005_858506208_858506208.ipa,858506208,com.hammerandchisel.discord,188.0,46846,2023-07-21T15:47:24,,,Payload/Discord.app/main.jsbundle,89,,0.69.x-0.70.x,medium,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker SegmentedControlIOS, removed in 0.69, is absent; useAnimatedValue from 0.71 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_005_859116718_859116718.ipa,859116718,com.hammerandchisel.discord,191.0,47806,2023-08-10T23:49:32,,,Payload/Discord.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_005_859426640_859426640.ipa,859426640,com.hammerandchisel.discord,193.1,48543,2023-08-25T10:36:12,,,Payload/Discord.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_005_867446229_867446229.ipa,867446229,com.hammerandchisel.discord,238.0,61077,2024-07-12T22:14:00,ptb,discord_ios@238.0.61077+61077,Payload/Discord.app/main.jsbundle,94,,0.71.x,medium,false,false,true,false,false,false,false,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,RN index marker useAnimatedValue is present; setUpDOM from 0.72 is absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_005_873070755_873070755.ipa,873070755,com.hammerandchisel.discord,270.0,73182,2025-03-07T21:46:40,ptb,discord_ios@270.0.73182+73182,Payload/Discord.app/main.jsbundle,96,,0.74.x-0.76.x,medium,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker registerCallableModule is present, but the 0.77 DevMenu and 0.78 experimental_LayoutConformance markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_005_875954689_875954689.ipa,875954689,com.hammerandchisel.discord,286.0,79884,2025-06-27T06:40:48,ptb,discord_ios@286.0.79884+79884,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_005_878843722_878843722.ipa,878843722,com.hammerandchisel.discord,301.0,86317,2025-10-10T16:49:58,ptb,discord_ios@301.0.86317+86317,Payload/Discord.app/main.jsbundle,96,19.0.0,0.78.x,high,false,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,Renderer is 19.0.0 and RN index marker unstable_enableLogBox is present; RN 0.79 removes it. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
discord-ipas/discord_005_881581965_881581965.ipa,881581965,com.hammerandchisel.discord,312.0,91447,2026-01-15T07:37:16,ptb,discord_ios@312.0.91447+91447,Payload/Discord.app/main.jsbundle,96,19.1.0,0.81.x,high,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker has VirtualViewMode, but not the ReactNativeVersion export added in 0.82. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_005_884118497_884118497.ipa,884118497,com.hammerandchisel.discord,323.0,97695,2026-04-04T00:45:08,ptb,discord_ios@323.0.97695+97695,Payload/Discord.app/main.jsbundle,96,19.1.0,0.81.x,high,true,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,true,true,true,1,"RN index marker has VirtualViewMode, but not the ReactNativeVersion export added in 0.82. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_006_834037598_834037598.ipa,834037598,com.hammerandchisel.discord,3.1.9,18591,2019-12-16T17:44:48,,,Payload/Discord.app/main.jsbundle,,,<=0.59.x,medium,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,true,1,"Core React Native bundle markers are present, but RN 0.60+ index markers are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
discord-ipas/discord_006_843079352_843079352.ipa,843079352,com.hammerandchisel.discord,83.0,26685,2021-07-16T15:05:04,,,Payload/Discord.app/main.jsbundle,,,0.62.x,medium,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,1,"RN LogBox marker is present, but PlatformColor/Pressable from 0.63 are absent. Native executable is FairPlay encrypted; exact native RN constants are not inspectable."
